spp,local,site,latitude,longitude,day,month,year,sampler,temperature,start,end,depth,ind,ont,size,obs_time,bites_original,bites_3min,bites_5min,substratum
ophioblennius_trinitatis,bahia,porto_da_barra,-13.003817,-38.534278,19,jan,2009,anchieta_nunes,27,1000,1400,1,1,adult,14,5,3,1.8,3,turf
ophioblennius_trinitatis,bahia,porto_da_barra,-13.003817,-38.534278,19,jan,2009,anchieta_nunes,27,1000,1400,1,2,adult,15,5,6,3.6,6,turf
ophioblennius_trinitatis,bahia,porto_da_barra,-13.003817,-38.534278,19,jan,2009,anchieta_nunes,27,1000,1400,1.3,3,adult,15,5,25,15,25,calcareous_algae
ophioblennius_trinitatis,bahia,porto_da_barra,-13.003817,-38.534278,19,jan,2009,anchieta_nunes,27,1000,1400,1.3,3,adult,15,5,2,1.2,2,turf
ophioblennius_trinitatis,bahia,porto_da_barra,-13.003817,-38.534278,19,jan,2009,anchieta_nunes,27,1000,1400,1.2,4,adult,15,5,30,18,30,calcareous_algae
ophioblennius_trinitatis,bahia,porto_da_barra,-13.003817,-38.534278,19,jan,2009,anchieta_nunes,27,1000,1400,1.2,4,adult,15,5,3,1.8,3,echinodermata
ophioblennius_trinitatis,bahia,porto_da_barra,-13.003817,-38.534278,19,jan,2009,anchieta_nunes,27,1000,1400,1.2,5,adult,15,5,25,15,25,calcareous_algae
ophioblennius_trinitatis,bahia,porto_da_barra,-13.003817,-38.534278,19,jan,2009,anchieta_nunes,27,1000,1400,0.8,6,adult,15,5,13,7.8,13,turf
ophioblennius_trinitatis,bahia,porto_da_barra,-13.003817,-38.534278,19,jan,2009,anchieta_nunes,27,1000,1400,0.8,6,adult,15,5,10,6,10,calcareous_algae
ophioblennius_trinitatis,bahia,porto_da_barra,-13.003817,-38.534278,19,jan,2009,anchieta_nunes,27,1000,1400,1.5,7,adult,15,5,28,16.8,28,calcareous_algae
ophioblennius_trinitatis,bahia,porto_da_barra,-13.003817,-38.534278,19,jan,2009,anchieta_nunes,27,1000,1400,1.2,8,adult,14,5,30,18,30,calcareous_algae
ophioblennius_trinitatis,bahia,porto_da_barra,-13.003817,-38.534278,19,jan,2009,anchieta_nunes,27,1000,1400,1,9,adult,13,5,27,16.2,27,calcareous_algae
ophioblennius_trinitatis,bahia,porto_da_barra,-13.003817,-38.534278,19,jan,2009,anchieta_nunes,27,1000,1400,2,10,adult,15,5,20,12,20,calcareous_algae
ophioblennius_trinitatis,bahia,porto_da_barra,-13.003817,-38.534278,19,jan,2009,anchieta_nunes,27,1000,1400,2,10,adult,15,5,10,6,10,turf
ophioblennius_trinitatis,bahia,porto_da_barra,-13.003817,-38.534278,19,jan,2009,anchieta_nunes,27,1000,1400,0.7,11,adult,15,5,0,0,0,na
ophioblennius_trinitatis,bahia,porto_da_barra,-13.003817,-38.534278,19,jan,2009,anchieta_nunes,27,1000,1400,0.8,12,adult,12,5,0,0,0,na
ophioblennius_trinitatis,bahia,porto_da_barra,-13.003817,-38.534278,19,jan,2009,anchieta_nunes,27,1000,1400,0.8,13,adult,15,5,0,0,0,na
ophioblennius_trinitatis,bahia,porto_da_barra,-13.003817,-38.534278,19,jan,2009,anchieta_nunes,27,1000,1400,0.7,14,adult,15,5,15,9,15,calcareous_algae
ophioblennius_trinitatis,bahia,porto_da_barra,-13.003817,-38.534278,19,jan,2009,anchieta_nunes,27,1000,1400,1,15,adult,15,5,17,10.2,17,calcareous_algae
ophioblennius_trinitatis,bahia,porto_da_barra,-13.003817,-38.534278,19,jan,2009,anchieta_nunes,27,1000,1400,1.3,16,adult,14,5,6,3.6,6,calcareous_algae
ophioblennius_trinitatis,bahia,porto_da_barra,-13.003817,-38.534278,19,jan,2009,anchieta_nunes,27,1000,1400,1.3,16,adult,14,5,10,6,10,turf
ophioblennius_trinitatis,bahia,porto_da_barra,-13.003817,-38.534278,19,jan,2009,anchieta_nunes,27,1000,1400,1.1,17,adult,13,5,2,1.2,2,calcareous_algae
ophioblennius_trinitatis,bahia,porto_da_barra,-13.003817,-38.534278,19,jan,2009,anchieta_nunes,27,1000,1400,1.1,17,adult,13,5,6,3.6,6,turf
ophioblennius_trinitatis,bahia,porto_da_barra,-13.003817,-38.534278,19,jan,2009,anchieta_nunes,27,1000,1400,1.5,18,adult,14,5,29,17.4,29,calcareous_algae
ophioblennius_trinitatis,bahia,porto_da_barra,-13.003817,-38.534278,19,jan,2009,anchieta_nunes,27,1000,1400,0.2,19,adult,15,5,10,6,10,calcareous_algae
ophioblennius_trinitatis,bahia,porto_da_barra,-13.003817,-38.534278,19,jan,2009,anchieta_nunes,27,1000,1400,0.5,20,adult,15,5,3,1.8,3,calcareous_algae
ophioblennius_trinitatis,bahia,porto_da_barra,-13.003817,-38.534278,19,jan,2009,anchieta_nunes,27,1000,1400,0.5,20,adult,15,5,2,1.2,2,echinodermata
ophioblennius_trinitatis,bahia,porto_da_barra,-13.003817,-38.534278,19,jan,2009,anchieta_nunes,27,1000,1400,1.2,21,adult,14,5,27,16.2,27,calcareous_algae
ophioblennius_trinitatis,bahia,porto_da_barra,-13.003817,-38.534278,19,jan,2009,anchieta_nunes,27,1000,1400,1.2,21,adult,14,5,5,3,5,turf
ophioblennius_trinitatis,bahia,porto_da_barra,-13.003817,-38.534278,19,jan,2009,anchieta_nunes,27,1000,1400,1,22,adult,15,5,0,0,0,na
ophioblennius_trinitatis,bahia,porto_da_barra,-13.003817,-38.534278,19,jan,2009,anchieta_nunes,27,1000,1400,1.5,23,adult,14,5,40,24,40,calcareous_algae
ophioblennius_trinitatis,bahia,porto_da_barra,-13.003817,-38.534278,19,jan,2009,anchieta_nunes,27,1000,1400,1,24,adult,15,5,26,15.6,26,calcareous_algae
ophioblennius_trinitatis,bahia,porto_da_barra,-13.003817,-38.534278,19,jan,2009,anchieta_nunes,27,1000,1400,1,24,adult,15,5,2,1.2,2,turf
ophioblennius_trinitatis,bahia,porto_da_barra,-13.003817,-38.534278,19,jan,2009,anchieta_nunes,27,1000,1400,1.1,25,adult,15,5,10,6,10,calcareous_algae
ophioblennius_trinitatis,bahia,porto_da_barra,-13.003817,-38.534278,19,jan,2009,anchieta_nunes,27,1000,1400,1.2,26,adult,15,5,28,16.8,28,calcareous_algae
ophioblennius_trinitatis,bahia,porto_da_barra,-13.003817,-38.534278,19,jan,2009,anchieta_nunes,27,1000,1400,1.2,26,adult,15,5,2,1.2,2,turf
ophioblennius_trinitatis,bahia,porto_da_barra,-13.003817,-38.534278,19,jan,2009,anchieta_nunes,27,1000,1400,1.2,26,adult,15,5,5,3,5,macroalgae
ophioblennius_trinitatis,bahia,porto_da_barra,-13.003817,-38.534278,19,jan,2009,anchieta_nunes,27,1000,1400,1,27,juvenile,5,5,20,12,20,calcareous_algae
ophioblennius_trinitatis,bahia,porto_da_barra,-13.003817,-38.534278,19,jan,2009,anchieta_nunes,27,1000,1400,0.8,28,juvenile,5,5,55,33,55,calcareous_algae
ophioblennius_trinitatis,bahia,porto_da_barra,-13.003817,-38.534278,19,jan,2009,anchieta_nunes,27,1000,1400,1.2,29,juvenile,6,5,50,30,50,calcareous_algae
ophioblennius_trinitatis,bahia,porto_da_barra,-13.003817,-38.534278,19,jan,2009,anchieta_nunes,27,1000,1400,1.2,30,juvenile,5,5,25,15,25,calcareous_algae
ophioblennius_trinitatis,bahia,porto_da_barra,-13.003817,-38.534278,19,jan,2009,anchieta_nunes,27,1000,1400,1,31,juvenile,5,5,12,7.2,12,turf
ophioblennius_trinitatis,bahia,porto_da_barra,-13.003817,-38.534278,19,jan,2009,anchieta_nunes,27,1000,1400,1,31,juvenile,5,5,10,6,10,calcareous_algae
ophioblennius_trinitatis,bahia,porto_da_barra,-13.003817,-38.534278,19,jan,2009,anchieta_nunes,27,1000,1400,1.3,32,juvenile,5,5,30,18,30,turf
ophioblennius_trinitatis,bahia,porto_da_barra,-13.003817,-38.534278,19,jan,2009,anchieta_nunes,27,1000,1400,1,33,juvenile,5,5,35,21,35,calcareous_algae
ophioblennius_trinitatis,bahia,porto_da_barra,-13.003817,-38.534278,19,jan,2009,anchieta_nunes,27,1000,1400,1,33,juvenile,5,5,5,3,5,echinodermata
ophioblennius_trinitatis,bahia,porto_da_barra,-13.003817,-38.534278,19,jan,2009,anchieta_nunes,27,1000,1400,1,34,juvenile,5,5,25,15,25,calcareous_algae
ophioblennius_trinitatis,bahia,porto_da_barra,-13.003817,-38.534278,19,jan,2009,anchieta_nunes,27,1000,1400,1.5,35,juvenile,6,5,45,27,45,calcareous_algae
