spp;local;site;ind;latitude;longitude;sampler;collaborator;fixation;month;year;TL_mm;SL_mm;weight_g;intestine_mm;QI;mean_temp;mouth_volume;fullness;ni_algae;bivalve;ceramiales;cladophorales;copepoda;corallinales;dictyotales;ectocarpales;eggs;fish_scale;gastropoda;gelidiales;hexacorallia;insect;sediment;polychaeta;ulvales;plastic;organic_detritus;total
ophioblennius_trinitatis;rocas_atoll;falsa_barreta;182;-3,860634;-33,818888;lucas_nunes;alana_fraga;formaldehyde;may;2016;69,5;53,4;2,36;166,8;2,4;29,7;na;2;3,3;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;53,8
ophioblennius_trinitatis;rocas_atoll;falsa_barreta;183;-3,860634;-33,818888;lucas_nunes;alana_fraga;formaldehyde;may;2016;61;43,7;1,83;127,1;2,08361;29,7;na;3;2;0,1;0;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;41;43,11
ophioblennius_trinitatis;rocas_atoll;falsa_barreta;184;-3,860634;-33,818888;lucas_nunes;alana_fraga;formaldehyde;may;2016;58,5;43,4;1,47;125,1;2,13846;29,7;na;3;1,28;0,1;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;40;41,48
ophioblennius_trinitatis;rocas_atoll;falsa_barreta;185;-3,860634;-33,818888;lucas_nunes;alana_fraga;formaldehyde;may;2016;61,8;45,3;1,93;115,2;1,86408;29,7;na;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;13
ophioblennius_trinitatis;rocas_atoll;falsa_barreta;186;-3,860634;-33,818888;lucas_nunes;alana_fraga;formaldehyde;may;2016;72,1;51,7;2,76;119,5;1,65742;29,7;na;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;11
ophioblennius_trinitatis;rocas_atoll;falsa_barreta;187;-3,860634;-33,818888;lucas_nunes;alana_fraga;formaldehyde;may;2016;83,5;62;4,59;182,3;2,18323;29,7;14;2;0;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57,2;57,7
ophioblennius_trinitatis;rocas_atoll;falsa_barreta;188;-3,860634;-33,818888;lucas_nunes;alana_fraga;formaldehyde;may;2016;79,5;61,3;3,97;197,4;2,48302;29,7;13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;15
ophioblennius_trinitatis;rocas_atoll;falsa_barreta;189;-3,860634;-33,818888;lucas_nunes;alana_fraga;formaldehyde;may;2016;88,2;68,5;5,12;223,8;2,53741;29,7;15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;28
ophioblennius_trinitatis;rocas_atoll;falsa_barreta;190;-3,860634;-33,818888;lucas_nunes;alana_fraga;formaldehyde;may;2016;85,9;63,1;4,43;168,1;1,95693;29,7;14;2;1;0,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;35,9
ophioblennius_trinitatis;rocas_atoll;falsa_barreta;1;-3,860634;-33,818888;lucas_nunes;na;formaldehyde;may;2016;73;70;na;242;3,31507;29,7;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na
ophioblennius_trinitatis;rocas_atoll;falsa_barreta;2;-3,860634;-33,818888;lucas_nunes;na;formaldehyde;may;2016;72;56;na;184;2,55556;29,7;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na
ophioblennius_trinitatis;rocas_atoll;falsa_barreta;3;-3,860634;-33,818888;lucas_nunes;na;formaldehyde;may;2016;65;52;na;162;2,49231;29,7;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na
ophioblennius_trinitatis;rocas_atoll;falsa_barreta;4;-3,860634;-33,818888;lucas_nunes;na;formaldehyde;may;2016;75;62;na;186;2,48;29,7;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na
ophioblennius_trinitatis;rocas_atoll;falsa_barreta;5;-3,860634;-33,818888;lucas_nunes;na;formaldehyde;may;2016;49;40;na;95;1,93878;29,7;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na
ophioblennius_trinitatis;rocas_atoll;falsa_barreta;6;-3,860634;-33,818888;lucas_nunes;na;formaldehyde;may;2016;90;70;na;185;2,05556;29,7;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na
ophioblennius_trinitatis;rocas_atoll;falsa_barreta;7;-3,860634;-33,818888;lucas_nunes;na;formaldehyde;may;2016;74;60;na;195;2,63514;29,7;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na
ophioblennius_trinitatis;rocas_atoll;falsa_barreta;8;-3,860634;-33,818888;lucas_nunes;na;formaldehyde;may;2016;58;49;na;135;2,32759;29,7;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na
ophioblennius_trinitatis;rocas_atoll;falsa_barreta;9;-3,860634;-33,818888;lucas_nunes;na;formaldehyde;may;2016;62;52;na;120;1,93548;29,7;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na
ophioblennius_trinitatis;rocas_atoll;falsa_barreta;10;-3,860634;-33,818888;lucas_nunes;na;formaldehyde;may;2016;72;57;na;170;2,36111;29,7;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na
ophioblennius_trinitatis;rocas_atoll;falsa_barreta;11;-3,860634;-33,818888;lucas_nunes;na;formaldehyde;may;2016;79;66;na;147;1,86076;29,7;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na
ophioblennius_trinitatis;rocas_atoll;falsa_barreta;12;-3,860634;-33,818888;lucas_nunes;na;formaldehyde;may;2016;65;65;na;183;2,81538;29,7;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na
ophioblennius_trinitatis;rocas_atoll;falsa_barreta;13;-3,860634;-33,818888;lucas_nunes;na;formaldehyde;may;2016;68;55;na;200;2,94118;29,7;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na
ophioblennius_trinitatis;rocas_atoll;falsa_barreta;14;-3,860634;-33,818888;lucas_nunes;na;formaldehyde;may;2016;58;48;na;140;2,41379;29,7;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na
ophioblennius_trinitatis;rocas_atoll;falsa_barreta;15;-3,860634;-33,818888;lucas_nunes;na;formaldehyde;may;2016;57;45;na;135;2,36842;29,7;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na
